"datetime","out","in"
"2020-02-01 22:40:00","1.0846676250e+09","4.3296625000e+09"
"2020-02-01 22:45:00","1.0351609375e+09","3.7221532500e+09"
"2020-02-01 22:50:00","1.0135532500e+09","3.8907565000e+09"
"2020-02-01 22:55:00","1.0732041250e+09","4.4250390000e+09"
"2020-02-01 23:00:00","1.1222128750e+09","4.7186955000e+09"
"2020-02-01 23:05:00","1.0747710000e+09","4.3329200000e+09"
"2020-02-01 23:10:00","1.0573935000e+09","4.3274665000e+09"
"2020-02-01 23:15:00","1.0989033750e+09","4.5269475000e+09"
"2020-02-01 23:20:00","1.1246378750e+09","4.7042280000e+09"
"2020-02-01 23:25:00","1.1407902500e+09","4.2683140000e+09"
"2020-02-01 23:30:00","1.0589675000e+09","4.1978125000e+09"
"2020-02-01 23:35:00","1.0963791250e+09","4.3168425000e+09"
"2020-02-01 23:40:00","1.0805790000e+09","4.5282195000e+09"
"2020-02-01 23:45:00","1.0406313125e+09","4.5013395000e+09"
"2020-02-01 23:50:00","1.0097428750e+09","4.5609270000e+09"
"2020-02-01 23:55:00","9.6243437500e+08","4.4718040000e+09"
"2020-02-02 00:00:00","9.9880218750e+08","4.5276300000e+09"
"2020-02-02 00:05:00","1.1024747500e+09","4.7020245000e+09"
"2020-02-02 00:10:00","1.1123863750e+09","4.8424355000e+09"
"2020-02-02 00:15:00","1.0848068750e+09","5.0630390000e+09"
"2020-02-02 00:20:00","1.1739872500e+09","4.7008795000e+09"
"2020-02-02 00:25:00","1.1396571250e+09","4.7336065000e+09"
"2020-02-02 00:30:00","1.1177085000e+09","4.6116865000e+09"
"2020-02-02 00:35:00","1.1475975000e+09","4.8349860000e+09"
"2020-02-02 00:40:00","1.0859438750e+09","4.6544730000e+09"
"2020-02-02 00:45:00","1.0718871250e+09","4.5754555000e+09"
"2020-02-02 00:50:00","1.0722580000e+09","4.6809520000e+09"
"2020-02-02 00:55:00","1.0615348750e+09","4.7290900000e+09"
"2020-02-02 01:00:00","9.9288943750e+08","4.5808755000e+09"
"2020-02-02 01:05:00","9.4976593750e+08","4.0488477500e+09"
"2020-02-02 01:10:00","1.0514303750e+09","4.5279185000e+09"
"2020-02-02 01:15:00","8.6979556250e+08","2.9212172500e+09"
"2020-02-02 01:20:00","6.8880000000e+08","2.1700927500e+09"
"2020-02-02 01:25:00","6.2511125000e+08","1.9993336250e+09"
"2020-02-02 01:30:00","1.0057585000e+09","4.3261950000e+09"
"2020-02-02 01:35:00","9.4196193750e+08","4.5831020000e+09"
"2020-02-02 01:40:00","1.0064808750e+09","4.5106985000e+09"
"2020-02-02 01:45:00","9.6520493750e+08","4.1297635000e+09"
"2020-02-02 01:50:00","8.9560031250e+08","4.2023605000e+09"
"2020-02-02 01:55:00","8.9125018750e+08","3.9962142500e+09"
"2020-02-02 02:00:00","1.0432993125e+09","4.1299937500e+09"
"2020-02-02 02:05:00","1.0818022500e+09","3.8789142500e+09"
"2020-02-02 02:10:00","7.4956943750e+08","2.0992585000e+09"
"2020-02-02 02:15:00","7.1616612500e+08","1.6046957500e+09"
"2020-02-02 02:20:00","6.9592237500e+08","1.5923863750e+09"
"2020-02-02 02:25:00","6.4902431250e+08","1.4526322500e+09"
"2020-02-02 02:30:00","6.4179831250e+08","1.3973565000e+09"
"2020-02-02 02:35:00","6.3903481250e+08","1.3390695000e+09"
"2020-02-02 02:40:00","6.4556012500e+08","1.3338227500e+09"
"2020-02-02 02:45:00","6.1820137500e+08","1.3002275000e+09"
"2020-02-02 02:50:00","6.4335025000e+08","1.3477211250e+09"
"2020-02-02 02:55:00","6.7743706250e+08","1.3267681250e+09"
"2020-02-02 03:00:00","6.7307225000e+08","1.4484926250e+09"
"2020-02-02 03:05:00","7.1902256250e+08","1.4434780000e+09"
"2020-02-02 03:10:00","7.7011956250e+08","1.4296921250e+09"
"2020-02-02 03:15:00","7.8375300000e+08","1.3845633750e+09"
"2020-02-02 03:20:00","7.9872425000e+08","1.4218971250e+09"
"2020-02-02 03:25:00","8.3388893750e+08","1.4911190000e+09"
"2020-02-02 03:30:00","1.1009587500e+09","1.8200820000e+09"
"2020-02-02 03:35:00","1.2422920000e+09","1.8422961250e+09"
"2020-02-02 03:40:00","1.2944507500e+09","1.9659102500e+09"
"2020-02-02 03:45:00","1.1756503750e+09","1.8996638750e+09"
"2020-02-02 03:50:00","1.1528287500e+09","2.0228957500e+09"
"2020-02-02 03:55:00","1.1004716250e+09","1.8084037500e+09"
"2020-02-02 04:00:00","1.0419135000e+09","1.8245406250e+09"
"2020-02-02 04:05:00","9.8629837500e+08","1.7515237500e+09"
"2020-02-02 04:10:00","1.0582685000e+09","1.7832556250e+09"
"2020-02-02 04:15:00","9.8084575000e+08","1.7262886250e+09"
"2020-02-02 04:20:00","9.1429475000e+08","1.6473972500e+09"
"2020-02-02 04:25:00","8.8316287500e+08","1.6015302500e+09"
"2020-02-02 04:30:00","8.8104950000e+08","1.4721336250e+09"
"2020-02-02 04:35:00","9.1032693750e+08","1.4297872500e+09"
"2020-02-02 04:40:00","8.6330281250e+08","1.4541986250e+09"
"2020-02-02 04:45:00","8.2409156250e+08","1.3239416250e+09"
"2020-02-02 04:50:00","7.6338081250e+08","1.2223687500e+09"
"2020-02-02 04:55:00","7.9830943750e+08","1.2365113750e+09"
"2020-02-02 05:00:00","7.4151218750e+08","1.2835270000e+09"
"2020-02-02 05:05:00","8.3275100000e+08","1.3226741250e+09"
"2020-02-02 05:10:00","7.5205700000e+08","1.2977557500e+09"
"2020-02-02 05:15:00","7.4172456250e+08","1.2092241250e+09"
"2020-02-02 05:20:00","7.2929643750e+08","1.2520923750e+09"
"2020-02-02 05:25:00","6.6789725000e+08","1.2263628750e+09"
"2020-02-02 05:30:00","7.2643562500e+08","1.1200137500e+09"
"2020-02-02 05:35:00","7.0208862500e+08","1.1347132500e+09"
"2020-02-02 05:40:00","6.9570756250e+08","1.1065656250e+09"
"2020-02-02 05:45:00","7.0826150000e+08","1.1533778750e+09"
"2020-02-02 05:50:00","6.7119781250e+08","1.0797610000e+09"
"2020-02-02 05:55:00","6.5173125000e+08","1.0359351250e+09"
"2020-02-02 06:00:00","4.8322518750e+08","8.7309956250e+08"
"2020-02-02 06:05:00","5.2324590625e+08","8.9303537500e+08"
"2020-02-02 06:10:00","5.3683862500e+08","9.0105112500e+08"
"2020-02-02 06:15:00","5.3509025000e+08","9.2558418750e+08"
"2020-02-02 06:20:00","5.0567662500e+08","9.0051218750e+08"
"2020-02-02 06:25:00","5.0102171875e+08","9.3926431250e+08"
"2020-02-02 06:30:00","3.1601756250e+08","7.7620950000e+08"
"2020-02-02 06:35:00","2.7066696875e+08","6.3175006250e+08"
"2020-02-02 06:40:00","2.7104425000e+08","5.8285900000e+08"
"2020-02-02 06:45:00","2.8918809375e+08","6.4058762500e+08"
"2020-02-02 06:50:00","2.4700298438e+08","5.7904743750e+08"
"2020-02-02 06:55:00","6.9337037500e+08","2.5457572500e+09"
"2020-02-02 07:00:00","8.4810037500e+08","3.4322202500e+09"
"2020-02-02 07:05:00","8.4140225000e+08","3.7822130000e+09"
"2020-02-02 07:10:00","8.9433918750e+08","4.1429455000e+09"
"2020-02-02 07:15:00","9.6334500000e+08","4.5191275000e+09"
"2020-02-02 07:20:00","9.4278387500e+08","4.6818575000e+09"
"2020-02-02 07:25:00","1.0426865000e+09","4.8716275000e+09"
"2020-02-02 07:30:00","1.0629101250e+09","5.0603520000e+09"
"2020-02-02 07:35:00","1.0528178750e+09","5.3444015000e+09"
"2020-02-02 07:40:00","1.0966596250e+09","5.4306735000e+09"
"2020-02-02 07:45:00","7.6435718750e+08","2.4894882500e+09"
"2020-02-02 07:50:00","1.0432861250e+09","4.6433255000e+09"
"2020-02-02 07:55:00","1.1026935000e+09","5.4575515000e+09"
"2020-02-02 08:00:00","9.9446693750e+08","5.4568330000e+09"
"2020-02-02 08:05:00","9.3664518750e+08","5.2704050000e+09"
"2020-02-02 08:10:00","9.6702493750e+08","5.4384905000e+09"
"2020-02-02 08:15:00","9.0900900000e+08","5.1157160000e+09"
"2020-02-02 08:20:00","9.0392768750e+08","4.9357980000e+09"
"2020-02-02 08:25:00","8.9837718750e+08","4.7863300000e+09"
"2020-02-02 08:30:00","9.0687568750e+08","4.9438410000e+09"
"2020-02-02 08:35:00","9.2818575000e+08","4.7548715000e+09"
"2020-02-02 08:40:00","9.3050387500e+08","4.8924250000e+09"
"2020-02-02 08:45:00","9.2398543750e+08","4.9094015000e+09"
"2020-02-02 08:50:00","8.9253868750e+08","4.9363805000e+09"
"2020-02-02 08:55:00","9.1124593750e+08","4.5526385000e+09"
"2020-02-02 09:00:00","9.1285837500e+08","4.7604760000e+09"
"2020-02-02 09:05:00","9.5837150000e+08","5.0504895000e+09"
